"Row #","CLM_SK","VIN_SK","MTO_SK","VIN","DLR_NO","CLM_NO","RO_YR","MDL_YR","FCTRY_CD","MDL_NM","ENGINE_CYLINDERS","DEST_CD","OEM_CCA","SERVICE_CCA","BATT_TEST_CD","DTC1","DTC2"
"1","48313555","28686368","74555","5J8TB18259A000992","251121","756491","2009","2009","MAP","RDX","4","KA","440","490","0R72J4HK15","0R72J","4HK15"
"2","48359373","28674074","74556","5J8TB18539A000693","251541","646620","2009","2009","MAP","RDX","4","KA","440","490","0062QUHW0U","0062Q","UHW0U"
"3","48422387","28761476","74556","5J8TB18599A002240","251518","549991","2009","2009","MAP","RDX","4","KA","440","490","51A3E6RXHM","51A3E","6RXHM"
"4","48452341","28681898","74555","5J8TB18249A000756","251476","224179","2009","2009","MAP","RDX","4","KA","440","490","0G72QA8V0U","0G72Q","A8V0U"
"5","48452343","28674029","74556","5J8TB185X9A000674","251476","224369","2009","2009","MAP","RDX","4","KA","440","490","0E72Q31G1K","0E72Q","31G1K"
"6","48452344","28784755","74556","5J8TB18599A002688","251476","224370","2009","2009","MAP","RDX","4","KA","440","490","1L62Q49WHK","1L62Q","49WHK"
"7","48482584","28954863","74555","5J8TB18269A005571","251042","465491","2009","2009","MAP","RDX","4","KA","440","490","2E62QBRU0U","2E62Q","BRU0U"
"8","48497193","28790187","74555","5J8TB18299A002759","251013","264182","2009","2009","MAP","RDX","4","KA","440","490","4862Q49X23","4862Q","49X23"
"9","48498524","28674019","74556","5J8TB185X9A000657","251518","552071","2009","2009","MAP","RDX","4","KA","440","490","53J3E5HW0T","53J3E","5HW0T"
"10","48513278","28814937","74556","5J8TB18589A003332","251518","552081","2009","2009","MAP","RDX","4","KA","440","490","3TJ2J5A00B","3TJ2J","5A00B"
"11","48541638","28681909","74555","5J8TB18259A000765","251304","207755","2009","2009","MAP","RDX","4","KA","440","490","006JQ5QLGF","006JQ","5QLGF"
"12","48555577","28790127","74555","5J8TB18249A002846","251038","003959","2009","2009","MAP","RDX","4","KA","440","490","1072Q49H2R","1072Q","49H2R"
"13","48557675","28712808","74555","5J8TB182X9A001362","251461","531771","2009","2009","MAP","RDX","4","KA","440","490","4J63E5A033","4J63E","5A033"
"14","48557828","28784652","74556","5J8TB18509A002739","251185","632091","2009","2009","MAP","RDX","4","KA","440","490","226394HSHH","22639","4HSHH"
"15","48570287","28907157","74556","5J8TB18529A004928","251552","039090","2009","2009","MAP","RDX","4","KA","440","490","2G63E4A039","2G63E","4A039"
"16","48570987","28712855","74555","5J8TB18249A001390","251257","183286","2009","2009","MAP","RDX","4","KA","440","490","0062QJGPKC","0062Q","JGPKC"
"17","48572603","28660085","74555","5J8TB18289A000128","251518","554251","2009","2009","MAP","RDX","4","KA","440","490","51A3E6RXHM","51A3E","6RXHM"
"18","48580806","28745378","74555","5J8TB18289A001876","251438","193527","2009","2009","MAP","RDX","4","KA","440","490","0072QU1JK8","0072Q","U1JK8"
