VIN,MODEL_YEAR,FACTORY_CODE,MODEL_NAME,DAYS_TO_FAIL_MINZERO,MILES_TO_FAIL,RO_DATE,CUST_RO_STATE_CD,CLM_SK,VIN_SK
19XFA16509E020236,2009,HMIN,CIVIC,130,4156,9/18/2009,FL,50867626,29792868
19XFA16519E025753,2009,HMIN,CIVIC,227,4459,1/7/2010,FL,52003834,29945095
19XFA16549E032146,2009,HMIN,CIVIC,852,14578,10/13/2011,IL,60805890,29995124
19XFA165X9E034385,2009,HMIN,CIVIC,150,5724,1/2/2010,FL,51863661,30033668
19XFA165X9E037786,2009,HMIN,CIVIC,144,10964,12/9/2009,AZ,51676393,30092837
19XFA166X9E029003,2009,HMIN,CIVIC,304,12065,3/16/2010,NV,52527358,29934728
19XFA16869E024320,2009,HMIN,CIVIC,143,4302,10/23/2009,AZ,51225194,29852219
19XFA1F52AE060614,2010,HMIN,CIVIC,175,13968,11/17/2010,MI,55816732,31275343
19XFA1F55AE029812,2010,HMIN,CIVIC,280,10355,1/17/2011,OH,56457111,30774281
19XFA1F57AE006726,2010,HMIN,CIVIC,541,18986,8/29/2011,TX,59170686,30424275
19XFA1F57AE009092,2010,HMIN,CIVIC,531,25900,10/18/2011,OH,60413462,30459721
19XFA1F59BE024162,2011,HMIN,CIVIC,191,10576,6/24/2011,FL,58336926,32182144
19XFA1F5XAE007384,2010,HMIN,CIVIC,149,3256,3/8/2010,IL,52459863,30438809
19XFA1F60AE047658,2010,HMIN,CIVIC,156,9976,9/3/2010,AZ,54939253,31060407
19XFA1F67AE037287,2010,HMIN,CIVIC,368,8418,6/30/2011,FL,58378523,30891198
19XFA1F6XAE055105,2010,HMIN,CIVIC,213,14729,12/17/2010,CA,56162127,31183361
19XFA1F81AE022592,2010,HMIN,CIVIC,629,13591,1/19/2012,NY,62449267,30666489
19XFA1F82AE014954,2010,HMIN,CIVIC,427,24668,3/3/2011,AZ,57116732,30554915
19XFA1F86AE043454,2010,HMIN,CIVIC,87,4092,10/5/2010,MO,55237897,30988851
19XFA1F88AE021455,2010,HMIN,CIVIC,304,13630,10/14/2010,OH,55334089,30648698
19XFA1F88AE023836,2010,HMIN,CIVIC,216,7793,8/23/2010,FL,54777599,30680620
1HGFA15518L030329,2008,ELP,CIVIC,699,23908,10/15/2009,TX,51186023,27443246
1HGFA15898L024918,2008,ELP,CIVIC,1026,46474,1/19/2011,FL,56522284,27352099
1HGFA15898L119026,2008,ELP,CIVIC,419,19866,12/11/2009,FL,51714019,28945352
1HGFA16508L096739,2008,ELP,CIVIC,136,8920,10/16/2008,TX,47448018,28533343
1HGFA16518L027199,2008,ELP,CIVIC,535,27127,5/11/2009,FL,49596937,27385303
1HGFA16528L038101,2008,ELP,CIVIC,423,9075,3/10/2009,CO,49057515,27630761
1HGFA16538L015877,2008,ELP,CIVIC,242,10589,8/15/2008,TX,46667141,27240852
1HGFA16538L044151,2008,ELP,CIVIC,625,21625,1/6/2010,VA,51905901,27736987
1HGFA16538L045946,2008,ELP,CIVIC,1022,24697,10/30/2010,FL,55573801,27748888
1HGFA16538L051228,2008,ELP,CIVIC,273,9485,10/28/2008,TX,47792711,27827935
1HGFA16549L009605,2009,ELP,CIVIC,232,17097,8/18/2009,AZ,50514964,29224128
1HGFA16568L014111,2008,ELP,CIVIC,461,35440,3/6/2009,OH,49008693,27219937
1HGFA16568L059288,2008,ELP,CIVIC,515,20670,9/9/2009,TX,50813720,27945758
1HGFA16568L072445,2008,ELP,CIVIC,183,12836,12/2/2008,GA,47997097,28121549
1HGFA16578L043939,2008,ELP,CIVIC,218,14403,8/14/2008,AZ,46626626,27728167
1HGFA16578L072468,2008,ELP,CIVIC,465,16889,7/20/2009,NV,50210587,28129562
1HGFA16578L073846,2008,ELP,CIVIC,483,19891,7/22/2009,TX,50237407,28143024
1HGFA16578L074138,2008,ELP,CIVIC,442,25699,7/14/2009,AZ,50162091,28143040
1HGFA16578L096222,2008,ELP,CIVIC,1011,33883,3/17/2011,GA,57252656,28524818
1HGFA16578L111558,2008,ELP,CIVIC,540,25923,6/11/2010,CA,53904448,28839046
1HGFA16588L006494,2008,ELP,CIVIC,393,13449,10/27/2008,TX,47693651,27096735
1HGFA16588L015180,2008,ELP,CIVIC,741,15175,2/9/2010,NV,52208202,27240961
1HGFA16588L043724,2008,ELP,CIVIC,673,24464,11/3/2009,TX,51336158,27719245
1HGFA16588L089991,2008,ELP,CIVIC,515,18995,12/1/2009,AZ,51608605,28417058
1HGFA16589L026942,2009,ELP,CIVIC,500,13066,8/24/2010,FL,54844660,29630181
1HGFA16598L030500,2008,ELP,CIVIC,365,32191,11/18/2008,AZ,47846421,27443752
1HGFA16598L073220,2008,ELP,CIVIC,575,22086,11/18/2009,TX,51610162,28135745
1HGFA16598L083715,2008,ELP,CIVIC,152,8260,10/22/2008,AZ,47479928,28286133
1HGFA16598L094942,2008,ELP,CIVIC,160,5332,11/10/2008,NV,47818699,28507208
1HGFA16598L096528,2008,ELP,CIVIC,394,12986,7/1/2009,TX,50064069,28524853
1HGFA165X8L034653,2008,ELP,CIVIC,546,20311,7/28/2009,IA,50284786,27494354
1HGFA165X8L092276,2008,ELP,CIVIC,445,24669,9/1/2009,TX,50712598,28449110
1HGFA165X8L102045,2008,ELP,CIVIC,892,33135,12/9/2010,NV,56190889,28642919
1HGFA165X8L116401,2008,ELP,CIVIC,575,24038,3/26/2010,GA,52633286,28916455
1HGFA165X8L118679,2008,ELP,CIVIC,497,11919,2/6/2010,FL,52222162,28945354
1HGFA16808L017483,2008,ELP,CIVIC,723,24239,10/31/2009,FL,51469088,27259674
1HGFA16808L040813,2008,ELP,CIVIC,316,16258,1/17/2009,AZ,48517479,27682847
1HGFA16808L068157,2008,ELP,CIVIC,212,14302,12/15/2008,NC,48501151,28048877
1HGFA16818L072217,2008,ELP,CIVIC,421,14840,6/30/2009,TX,50033468,28121681
1HGFA16818L084528,2008,ELP,CIVIC,547,26265,10/23/2009,AZ,51225195,28301288
1HGFA16819L005036,2009,ELP,CIVIC,344,18353,9/22/2009,AZ,50884351,29128608
